Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Secure Networks Design,"Encyclopedia of Cryptography, Security and Privacy",,,,10.1007/978-3-030-71522-9_300864,,2025,https://link.springer.com/rwe/10.1007/978-3-030-71522-9_300864,Reference work entry
Zero Trust Architecture,"Encyclopedia of Cryptography, Security and Privacy",,,,10.1007/978-3-030-71522-9_1638,Dwight Horne,2025,https://link.springer.com/rwe/10.1007/978-3-030-71522-9_1638,Reference work entry
Network Capabilities,"Encyclopedia of Cryptography, Security and Privacy",,,,10.1007/978-3-030-71522-9_272,Xiaowei Yang,2025,https://link.springer.com/rwe/10.1007/978-3-030-71522-9_272,Reference work entry
Firewall Policy Analysis,"Encyclopedia of Cryptography, Security and Privacy",,,,10.1007/978-3-030-71522-9_300386,,2025,https://link.springer.com/rwe/10.1007/978-3-030-71522-9_300386,Reference work entry
"The DAWN Framework: Integrating SDN, NFV, and Machine Learning for Enhanced DDoS Resistance",Artificial Intelligence and Applications,,,,10.1007/978-981-97-8074-7_17,Aisha LalliAspen OlmstedArti Tripathi,2025,https://link.springer.com/chapter/10.1007/978-981-97-8074-7_17,Conference paper
Measuring the Impact of Flexible Communications Software Design in Network Applications,"Proceedings of the 5th International Conference on Data Science, Machine Learning and Applications; Volume 2",,,,10.1007/978-981-97-8043-3_7,Intekhab AlamA. PrabhuRenu YadavS. Pravinthraja,2025,https://link.springer.com/chapter/10.1007/978-981-97-8043-3_7,Conference paper
LARMix $$\mathbf {++}$$ : Latency-Aware Routing in&#xa0;Mix Networks with&#xa0;Free Routes Topology,Cryptology and Network Security,,,,10.1007/978-981-97-8013-6_9,Mahdi Rahimi,2025,https://link.springer.com/chapter/10.1007/978-981-97-8013-6_9,Conference paper
Developing Algorithms for Adaptive Network Coding and Its Impact on Wireless Network Performance,"Proceedings of the 5th International Conference on Data Science, Machine Learning and Applications; Volume 2",,,,10.1007/978-981-97-8043-3_11,Aanchal GargSelvaraj PoornimaSavitaM. N. Nachappa,2025,https://link.springer.com/chapter/10.1007/978-981-97-8043-3_11,Conference paper
Evolutionary Framework and&#xa0;Conflict Resolution for&#xa0;Multidirectional Transformations,Bidirectional Collaborative Data Management,,,,10.1007/978-981-97-6429-7_2,Soichiro Hidaka,2025,https://link.springer.com/chapter/10.1007/978-981-97-6429-7_2,Chapter
A Novel Approach for Bridging the Gap Between SDN and MITRE for&#xa0;Agile Incident Response,Fifth International Conference on Computing and Network Communications,,,,10.1007/978-981-97-4540-1_1,Anjana JimmingtonP. Alfas HakeemPreetam MukherjeeSabu M. Thampi,2025,https://link.springer.com/chapter/10.1007/978-981-97-4540-1_1,Conference paper
Building a Secure Enterprise Network: A Blueprint for SDP and SDN Integration,"Modeling, Simulation and Computer Technology",,,,10.1007/978-3-032-01922-6_2,Ilyas MerzoukaAbderrouaf KirliRania BoudeflaSarra MamechaouiAyoub Zahraoui,2025,https://link.springer.com/chapter/10.1007/978-3-032-01922-6_2,Conference paper
DDoS Mitigation Dilemma Exposed: A&#xa0;Two-Wave Attack with&#xa0;Collateral Damage of&#xa0;Millions,Security and Privacy in Communication Networks,,,,10.1007/978-3-031-64954-7_2,Lumin ShiJun LiDevkishen SisodiaMingwei ZhangAlberto DainottiPeter Reiher,2025,https://link.springer.com/chapter/10.1007/978-3-031-64954-7_2,Conference paper
Wi-Fi Networks that Can Be Identified by Software,Smart Infrastructures in the IoT Era,,,,10.1007/978-3-031-72509-8_96,Ramiz SalamaFadi Al-Turjman,2025,https://link.springer.com/chapter/10.1007/978-3-031-72509-8_96,Chapter
"Software-Defined Network-Based Vehicular Networks: Fundamentals, Architectures and Security Issues",Proceedings of the 4th International Conference on Advances in Communication Technology and Computer Engineering (ICACTCE’24),,,,10.1007/978-3-031-94620-2_35,Mariyam OuaissaMariya OuaissaMeriem HoumerHanane LamaaziSarah El HimerZakaria Boulouard,2025,https://link.springer.com/chapter/10.1007/978-3-031-94620-2_35,Conference paper
Use of Heterogeneous Special Purpose Telecommunication Networks for Provision of Convergent Services,Applied Innovations in Information and Communication Technology,,,,10.1007/978-3-031-89296-7_3,Oleh KopiikaVolodymyr KalininAlina Lytvynenko,2025,https://link.springer.com/chapter/10.1007/978-3-031-89296-7_3,Conference paper
Wavelet and&#xa0;Kalman Filter-Empowered Traffic Detection for&#xa0;Secure QUIC Network Communication,Data Information in Online Environments,,,,10.1007/978-3-031-80713-8_10,Liang ShanJunyi WuKeyang GuJinquan NieRiqing Xu,2025,https://link.springer.com/chapter/10.1007/978-3-031-80713-8_10,Conference paper
Enhancing Mobile Ad-Hoc Networks with SDN: A Novel SDMANET Architecture for Improved Routing and Performance,"Convergence of AI, Federated Learning, and Blockchain for Sustainable Development",,,,10.1007/978-3-031-80949-1_2,Rabia SalehBenjamin KenwrightI. Idris SkloulLilia Georgieva,2025,https://link.springer.com/chapter/10.1007/978-3-031-80949-1_2,Chapter
DDOS Attack Detection and Prevention Using MIEC Method in SDN Environment,Artificial Intelligence Based Smart and Secured Applications,,,,10.1007/978-3-031-86305-9_12,R. KarthikeyaniE. Karthikeyan,2025,https://link.springer.com/chapter/10.1007/978-3-031-86305-9_12,Conference paper
To Adopt or&#xa0;Not to&#xa0;Adopt L4S-Compatible Congestion Control? Understanding Performance in&#xa0;a&#xa0;Partial L4S Deployment,Passive and Active Measurement,,,,10.1007/978-3-031-85960-1_10,Fatih Berkay SarpkayaFraida FundShivendra Panwar,2025,https://link.springer.com/chapter/10.1007/978-3-031-85960-1_10,Conference paper
Kubernetes in&#xa0;the&#xa0;Cloud vs. Bare Metal: A Comparative Study of&#xa0;Network Costs,Advanced Information Networking and Applications,,,,10.1007/978-3-031-87772-8_19,Rodrigo Mompo RedoliAmjad Ullah,2025,https://link.springer.com/chapter/10.1007/978-3-031-87772-8_19,Conference paper
Programmable Solutions for&#xa0;Low-Power Lossy Wireless Networks: A Study of&#xa0;SDN and&#xa0;Femto Containers,Advanced Information Networking and Applications,,,,10.1007/978-3-031-87769-8_5,Ahmad MahmodJulien MontavontThoms Noel,2025,https://link.springer.com/chapter/10.1007/978-3-031-87769-8_5,Conference paper
Computer Networks,Digital Communications,,,,10.1007/978-3-031-92397-5_11,Marcelo Sampaio de AlencarValdemar Cardoso da Rocha,2025,https://link.springer.com/chapter/10.1007/978-3-031-92397-5_11,Chapter
Secure SD-WAN Network Solution for Corporate Enterprises Using Fortinet and EVE-NG Emulator,Information Technology and Systems,,,,10.1007/978-3-031-93106-2_22,José Javier De la Torre-GuzmánMartha Elizabeth Salazar-JácomeFélix Chávez-JácomeWilson Sánchez-Ocaña,2025,https://link.springer.com/chapter/10.1007/978-3-031-93106-2_22,Conference paper
Deep Neural Network Model for UDP SYN Flood Distributed DoS Attack Detection in SDN,Biologically Inspired Techniques in Many Criteria Decision-Making,,,,10.1007/978-3-031-82706-8_46,V. MohanB. K. MadhaviS. B. Kishor,2025,https://link.springer.com/chapter/10.1007/978-3-031-82706-8_46,Conference paper
Design and&#xa0;Evaluation of&#xa0;a&#xa0;Service-Based Interface for&#xa0;the&#xa0;Control of&#xa0;5G User Plane Functions,Advances in Information and Communication,,,,10.1007/978-3-031-84457-7_30,Joel JohnHauke BuhrMarius CoriciThomas Magedanz,2025,https://link.springer.com/chapter/10.1007/978-3-031-84457-7_30,Conference paper
Bruisable Onions: Anonymous Communication in&#xa0;the&#xa0;Asynchronous Model,Theory of Cryptography,,,,10.1007/978-3-031-78011-0_16,Megumi AndoAnna LysyanskayaEli Upfal,2025,https://link.springer.com/chapter/10.1007/978-3-031-78011-0_16,Conference paper
A Simulation Study on the Influence of Prioritized Multicast Connections on Traffic Effectiveness Network Nodes,Artificial Intelligence and Machine Learning,,,,10.1007/978-3-031-77493-5_19,Blazej Nowak,2025,https://link.springer.com/chapter/10.1007/978-3-031-77493-5_19,Conference paper
Self-optimizing SD-WAN,Artificial Intelligence and Machine Learning,,,,10.1007/978-3-031-77493-5_24,Dariusz Gasior,2025,https://link.springer.com/chapter/10.1007/978-3-031-77493-5_24,Conference paper
Short Paper: Onion Messages on&#xa0;Leash,Financial Cryptography and Data Security,,,,10.1007/978-3-031-78679-2_15,Amin BashiriMajid Khabbazian,2025,https://link.springer.com/chapter/10.1007/978-3-031-78679-2_15,Conference paper
TRACE: A Reference Architecture for Intelligent Logistics Operations in B5G Networks,Artificial Intelligence Applications and Innovations. AIAI 2025 IFIP WG 12.5 International Workshops,,,,10.1007/978-3-031-97317-8_20,Konstantina PapachristopoulouThemistoklis AnagnostopoulosKonstantinos FragkosIoanna MesogitiGeorge LimperopoulosEleni TheodoropoulouKostas Kolomvatsos,2025,https://link.springer.com/chapter/10.1007/978-3-031-97317-8_20,Conference paper
A Novel Routing Algorithm for&#xa0;Optical Networks Based on&#xa0;ML Methods,Computational Science – ICCS 2025 Workshops,,,,10.1007/978-3-031-97554-7_3,Paweł KrysztofikPaweł CichoszSławomir SujeckiStanisław Kozdrowski,2025,https://link.springer.com/chapter/10.1007/978-3-031-97554-7_3,Conference paper
Network Security Configuration Software of Switch,New Energy Power Generation Automation and Intelligent Technology,,,,10.1007/978-981-95-3335-0_63,Zhen-di GeZhang YaoZhu MaoWen-yue ZhaoHao PengXiao-jun Luo,2025,https://link.springer.com/chapter/10.1007/978-981-95-3335-0_63,Conference paper
Optimization of Network latency,Optimization Methods in Mobile Communication Systems,,,,10.1007/978-981-95-1810-4_6,Milind PandeAnand J. KulkarniApoorva S. Shastri,2025,https://link.springer.com/chapter/10.1007/978-981-95-1810-4_6,Chapter
PSO-Based Adaptive Controller Load Balancing Approach for&#xa0;Hybrid Cluster Architectures,"Proceedings of the 2nd International Conference on Networks, Communications and Intelligent Computing (NCIC 2024)",,,,10.1007/978-981-96-5006-4_113,Zewei ZhangJiabao ChenJinyi ChenZhaoming HuFangqing TanHaofei XieChao Fang,2025,https://link.springer.com/chapter/10.1007/978-981-96-5006-4_113,Conference paper
Research on Network Inter-Domain Multi-Channel Control Management Mechanism Based on DPC Classification,"Advances in Printing, Packaging and Communication Technologies",,,,10.1007/978-981-96-4467-4_16,Chenchen LongShuguang LiZhong ShuHuabing DuLiangzhe Chen,2025,https://link.springer.com/chapter/10.1007/978-981-96-4467-4_16,Conference paper
Safeguarding Software-Defined Networking: Exploring Security Challenges and Mitigation Strategies,Mobile Radio Communications and 5G Networks,,,,10.1007/978-981-96-4226-7_9,Mohammad ShahidMukesh Mann,2025,https://link.springer.com/chapter/10.1007/978-981-96-4226-7_9,Conference paper
An Intelligent Congestion Control Algorithm for Computing Power Network,Proceedings of the 14th International Conference on Computer Engineering and Networks,,,,10.1007/978-981-96-4963-1_2,Ming JinYuting LiJiakai HaoTiangao PiaoJing YangJinqian Chen,2025,https://link.springer.com/chapter/10.1007/978-981-96-4963-1_2,Conference paper
Research on the Application of Deep Reinforcement Learning in SDN Routing Optimization,Proceedings of the 14th International Conference on Computer Engineering and Networks,,,,10.1007/978-981-96-4963-1_21,Liting ZhangEnxiang ZhouJing-mei Wu,2025,https://link.springer.com/chapter/10.1007/978-981-96-4963-1_21,Conference paper
Behavioural Analysis of&#xa0;Fisheye Routing Protocol and&#xa0;Routing Information Protocol,Data Mining and Information Security,,,,10.1007/978-981-96-6066-7_10,Piyush MoreOmkar AgasheSoham KulkarniRupesh Chandrakant Jaiswal,2025,https://link.springer.com/chapter/10.1007/978-981-96-6066-7_10,Conference paper
Comparative Study on Network Policy Specification Languages,Advances in Distributed Computing and Machine Learning,,,,10.1007/978-981-96-6721-5_9,Swagat Kumar JenaSatyabrata DasBata Krishna TripathyKundan Chandra Patra,2025,https://link.springer.com/chapter/10.1007/978-981-96-6721-5_9,Conference paper
Strategies for Effective Network Congestion Control: Insights from Parameter-Based Analysis,Proceedings of Third International Conference on Computational Electronics for Wireless Communications,,,,10.1007/978-981-97-1946-4_17,Lovely S. MutnejaDinesh G. HarkutPrachi D. Thakar,2025,https://link.springer.com/chapter/10.1007/978-981-97-1946-4_17,Conference paper
Energy Efficient Smart Scheduling for Multi-path Routing Using Deep Learning,Fifth Congress on Intelligent Systems,,,,10.1007/978-981-96-2703-5_28,Amit GargJ. LogeshwaranS. DhanasekaranRishi GuptaSaurabh Singhal,2025,https://link.springer.com/chapter/10.1007/978-981-96-2703-5_28,Conference paper
LBoDSN: An In-Network Load Balancing Mechanism for&#xa0;Lossless Data Center Networks Based on&#xa0;Direct Switch Notification,Network and Parallel Computing,,,,10.1007/978-981-96-2830-8_29,Qingyu ShiFangxue JiangHuang HuangXiaocui LiChuang LiWenzhi CaoLimei Liu,2025,https://link.springer.com/chapter/10.1007/978-981-96-2830-8_29,Conference paper
V-Sketch: A Sketch-Based Verification Mechanism for&#xa0;Logical-Physical Rule Consistency in&#xa0;SDN,Algorithms and Architectures for Parallel Processing,,,,10.1007/978-981-96-1542-1_3,Kejian LiYang DuGuoju GaoHe HuangYu-E Sun,2025,https://link.springer.com/chapter/10.1007/978-981-96-1542-1_3,Conference paper
SRv6-INT Enabled Network Monitoring and&#xa0;Measurement: Toward High-Yield Network Observability for&#xa0;Digital Twin,"Proceedings of the 3rd International Conference on Machine Learning, Cloud Computing and Intelligent Mining (MLCCIM2024)",,,,10.1007/978-981-96-1698-5_12,Xu ZhangChuan FengPengchao HanWei LiuXiaoxue GongQiupei ZhangLei Guo,2025,https://link.springer.com/chapter/10.1007/978-981-96-1698-5_12,Conference paper
Link Failure Recovery in Hybrid SDN Using Prior Knowledge-Based Reinforcement Learning Algorithms,Advanced Intelligent Computing Technology and Applications,,,,10.1007/978-981-96-9958-2_29,Zesong Liu,2025,https://link.springer.com/chapter/10.1007/978-981-96-9958-2_29,Conference paper
An Adaptive Traffic Engineering System Using Virtual Routing Topology Techniques,Innovative Computing and Communications,,,,10.1007/978-981-96-7137-3_15,M. RamaP. VandanaA. RamachandranS. YuvarajS. SowmiyaB. Rajmohan,2025,https://link.springer.com/chapter/10.1007/978-981-96-7137-3_15,Conference paper
Intelligent Routing Decision Making Based on GGKM: Combining GCN and Deep Reinforcement Learning,Advanced Intelligent Computing Technology and Applications,,,,10.1007/978-981-96-9914-8_16,Zesong Liu,2025,https://link.springer.com/chapter/10.1007/978-981-96-9914-8_16,Conference paper
"Performance Analysis of Floodlight, ONOS, OpenDaylight and Ryu Controllers in Software-Defined Network",Proceedings of Tenth International Congress on Information and Communication Technology,,,,10.1007/978-981-96-6938-7_5,Rolph Abraham YaoFerdinand Tonguim Guinko,2025,https://link.springer.com/chapter/10.1007/978-981-96-6938-7_5,Conference paper
Retraction Note: Encrypted Network Traffic Classification and Resource Allocation with Deep Learning in Software Defined Network,Wireless Personal Communications,,,,10.1007/s11277-025-11741-3,Roy SetiawanRamakoteswara Rao GangaPriya VelayuthamKumaravel ThangavelDilip Kumar SharmaRegin RajanSujatha KrishnamoorthySudhakar Sengan,2025,https://link.springer.com/article/10.1007/s11277-025-11741-3,Article
One-to-Many Communication Primitives in&#xa0;Dragonfly Networks,Euro-Par 2024: Parallel Processing Workshops,,,,10.1007/978-3-031-90203-1_29,José DuroAdrián CastellóMaría Engracia GómezJulio SahuquilloEnrique S. Quintana-Ortí,2025,https://link.springer.com/chapter/10.1007/978-3-031-90203-1_29,Conference paper
Performance of Service Identification of TLS 1.3 Flows Based on SNI Analysis,7th International Conference on Signal Processing and Information Communications,,,,10.1007/978-3-031-89994-2_8,Ryo AsaokaAkihiro NakaoMasato OguchiSaneyasu Yamaguchi,2025,https://link.springer.com/chapter/10.1007/978-3-031-89994-2_8,Conference paper
Detecting Distributed Denial of&#xa0;Service (DDoS) Attacks in&#xa0;a&#xa0;Multi-controller SDN Environment Utilizing Machine Learning,"Computing Science, Communication and Security",,,,10.1007/978-3-031-75170-7_9,Nishant SanghaniGunjani VaghelaBhavesh Borisaniya,2025,https://link.springer.com/chapter/10.1007/978-3-031-75170-7_9,Conference paper
NOTORIOUS: AgNOsTic sOftware aRchItecture fOr aUtomated DiagnoSis for&#xa0;GPONs,Applied Informatics,,,,10.1007/978-3-031-75147-9_18,Ronaldo T. P. MilfontRubens A. S. SousaRossana M. C. AndradeDanilo R. Vasconcelos,2025,https://link.springer.com/chapter/10.1007/978-3-031-75147-9_18,Conference paper
A BBR-Based Stream-Aware Packet Scheduler for MPQUIC over Heterogeneous Wireless Networks,Computational and Experimental Simulations in Engineering,,,,10.1007/978-3-031-77489-8_31,Zhenjie DengDehuan WanChen Bian,2025,https://link.springer.com/chapter/10.1007/978-3-031-77489-8_31,Conference paper
"Designing Secure Software-Defined Network, Resistant to DDoS Attack Using Non-linear Routing Rule Installation","Cyber Warfare, Security and Space Computing",,,,10.1007/978-3-031-73494-6_22,Anoop Kumar PatelPrince Raj,2025,https://link.springer.com/chapter/10.1007/978-3-031-73494-6_22,Conference paper
A Comparison Study of&#xa0;DTAG Recovery Method with&#xa0;Two Integrated DTAG-SpW and&#xa0;DTAG-Epidemic Methods,"Advances on Broad-Band Wireless Computing, Communication and Applications",,,,10.1007/978-3-031-76452-3_31,Shura TachibanaMakoto IkedaLeonard Barolli,2025,https://link.springer.com/chapter/10.1007/978-3-031-76452-3_31,Conference paper
DrATC: Dynamic Routing Algorithm Based on&#xa0;Trust Characteristics,Security and Trust Management,,,,10.1007/978-3-031-76371-7_1,Davide FerrarisLorenzo Monti,2025,https://link.springer.com/chapter/10.1007/978-3-031-76371-7_1,Conference paper
Uncovering Network Complexity: A Tale of&#xa0;Two Designs,Computational Science and Computational Intelligence,,,,10.1007/978-3-031-94962-3_27,Xin Sun,2025,https://link.springer.com/chapter/10.1007/978-3-031-94962-3_27,Conference paper
Route Discovery in&#xa0;Private Payment Channel Networks,Computer Security. ESORICS 2024 International Workshops,,,,10.1007/978-3-031-82349-7_15,Zeta AvarikiotiMahsa BastankhahMohammad Ali Maddah-AliKrzysztof PietrzakJakub SvobodaMichelle Yeo,2025,https://link.springer.com/chapter/10.1007/978-3-031-82349-7_15,Conference paper
Blockchain-Based Controller Recovery and&#xa0;SDN Forwarding Device Rule Migration for&#xa0;UAVs,"Blockchain and Applications, 6th International Congress",,,,10.1007/978-3-031-81928-5_26,Afifa Islam AnannaMahedul Hasan RifatTowshick Intesir Ahmed RainShanjida AkterNafees Mansoor,2025,https://link.springer.com/chapter/10.1007/978-3-031-81928-5_26,Conference paper
Performance Analysis of Modified Congestion Control for Real-World Traffic in IoT-Enabled Edge Networks,The Digital Edge: Transforming Business Systems for Strategic Success,,,,10.1007/978-3-031-85898-7_24,C. V. RavikumarK. RushendrababuMuhsin Jaber JweegA. S. KumarOula M. H. FatlaM. N. MohammedOday I. Abdullah,2025,https://link.springer.com/chapter/10.1007/978-3-031-85898-7_24,Chapter
SDN Security on IT and OT Networks: A Systematic Literature Review,Innovative Technologies on Electrical Power Systems for Smart Cities Infrastructure,,,,10.1007/978-3-031-86705-7_26,Abderrahmane CadiAyoub BahnasseRadouane Majdoul,2025,https://link.springer.com/chapter/10.1007/978-3-031-86705-7_26,Conference paper
Soft Actor Critic Based End-to-End QoS Path Selection in&#xa0;Multi-Domain SDN Environments,"Internet Computing and IoT and Embedded Systems, Cyber-physical Systems, and Applications",,,,10.1007/978-3-031-85923-6_22,Gyumin LeeJunghyun LimByeong-hee Roh,2025,https://link.springer.com/chapter/10.1007/978-3-031-85923-6_22,Conference paper
The Razor’s Edge: IPv6 Extension Headers Survivability,Passive and Active Measurement,,,,10.1007/978-3-031-85960-1_1,Justin IurmanBenoit Donnet,2025,https://link.springer.com/chapter/10.1007/978-3-031-85960-1_1,Conference paper
ElasticRoute: Dynamic Flow Routing for&#xa0;Wireless Access Networks,Advanced Information Networking and Applications,,,,10.1007/978-3-031-87763-6_6,Duncan E. CameronMurugaraj OdiathevarAlvin C. ValeraWinston K. G. Seah,2025,https://link.springer.com/chapter/10.1007/978-3-031-87763-6_6,Conference paper
Network Traffic Analysis Framework for&#xa0;E-Sports: The UPSIDE Dataset,Advanced Information Networking and Applications,,,,10.1007/978-3-031-87778-0_37,Massimiliano RakPaolo PalmieroFelice Moretta,2025,https://link.springer.com/chapter/10.1007/978-3-031-87778-0_37,Conference paper
Research on Network Congestion Recognition Based on Improved Genetic Algorithm,Advanced Information Networking and Applications,,,,10.1007/978-3-031-87778-0_12,Chi YanZhenzhen LiSiyu DongLiping Shi,2025,https://link.springer.com/chapter/10.1007/978-3-031-87778-0_12,Conference paper
Technological Principles for Building a Network Architecture of Service Data Processing Centers,Applied Innovations in Information and Communication Technology,,,,10.1007/978-3-031-89296-7_7,Oleh KopiikaStanislav DovgyiAndrii Yaremenko,2025,https://link.springer.com/chapter/10.1007/978-3-031-89296-7_7,Conference paper
Performance Evaluation of IMS/NGN Network with SDN-Based Transport Stratum,Computational Science – ICCS 2025,,,,10.1007/978-3-031-97635-3_20,Sylwester KaczmarekMagdalena MłynarczukMaciej Sac,2025,https://link.springer.com/chapter/10.1007/978-3-031-97635-3_20,Conference paper
SD-Cluster: A SDN Controller Cluster,Computational Science and Computational Intelligence,,,,10.1007/978-3-031-95133-6_20,Da-Chih Lin,2025,https://link.springer.com/chapter/10.1007/978-3-031-95133-6_20,Conference paper
Network Policy Enforcement in&#xa0;Cloud-Native Environments,Artificial Intelligence Applications and Innovations. AIAI 2025 IFIP WG 12.5 International Workshops,,,,10.1007/978-3-031-97317-8_15,Pedro R. TomasSofia SilvaMarco NetoJorge ProençaLuis RosaLuis CordeiroTarik TalebTiago Cruz,2025,https://link.springer.com/chapter/10.1007/978-3-031-97317-8_15,Conference paper
Opening Pandora’s Packet: Expose IPv6 Implementations Vulnerabilities Using Differential Fuzzing,Applied Cryptography and Network Security,,,,10.1007/978-3-031-95761-1_14,Enrico BassettiEdoardo Di PaoloFrancesco DragoMauro ContiAngelo Spognardi,2025,https://link.springer.com/chapter/10.1007/978-3-031-95761-1_14,Conference paper
Cooperative Intelligence in Distributed Network Observations for Sustainable Smart Cities,Networks and Sustainability,,,,10.1007/978-3-032-02272-1_2,Mehmet Cihan SakmanJosef Spillner,2025,https://link.springer.com/chapter/10.1007/978-3-032-02272-1_2,Conference paper
Control of Automated Deployment of Microservice Applications with QoS/QoE Support for Sustainable Development of Information and Communication Networks,Networks and Sustainability,,,,10.1007/978-3-032-02272-1_31,Olha ShpurMarian SeliuchenkoMykhailo Klymash,2025,https://link.springer.com/chapter/10.1007/978-3-032-02272-1_31,Conference paper
A Comparison Between Traffic Classification Models for&#xa0;Bandwidth Management in&#xa0;Software-Defined Networks,Hybrid Intelligent Systems,,,,10.1007/978-3-031-78925-0_28,Nilton J. MocelinRafael S. ParpinelliAdriano Fiorese,2025,https://link.springer.com/chapter/10.1007/978-3-031-78925-0_28,Conference paper
Application of Machine Learning for Resource Management in Intent-Based Networks,Information Systems,,,,10.1007/978-3-031-81325-2_9,Dariusz Gąsior,2025,https://link.springer.com/chapter/10.1007/978-3-031-81325-2_9,Conference paper
Deep Reinforcement Learning-Based Open and Hybrid Switching-Driven Software-Defined Networking: Adaptability and Comparison,"The 7th International Conference on Wireless, Intelligent and Distributed Environment for Communication",,,,10.1007/978-3-031-80817-3_4,Lateef Adesola AkinyemiJelil Olatunbosun Agbo-AjalaDonatien Koulla MoullaDavid AttipoeSree Gaanesh ThotempudiErnest MnkandlaMbuyu Sumbwanyambe,2025,https://link.springer.com/chapter/10.1007/978-3-031-80817-3_4,Conference paper
Comparative Analysis of Flow-Based Models for Fast ReRouting in Softwarized Networks,Advances in Computer Science for Engineering and Education VII,,,,10.1007/978-3-031-84228-3_32,Oleksandra YeremenkoDaniil NedostupAmal MersniMykhailo Persikov,2025,https://link.springer.com/chapter/10.1007/978-3-031-84228-3_32,Conference paper
Enhanced Relaxed Loop Free Updates in Software Defined Network,Future Access Enablers for Ubiquitous and Intelligent Infrastructures,,,,10.1007/978-3-031-72393-3_3,Bahri JamalMarouane SebguiZouhair Guennoun,2025,https://link.springer.com/chapter/10.1007/978-3-031-72393-3_3,Conference paper
IPSec Policy Analysis,"Encyclopedia of Cryptography, Security and Privacy",,,,10.1007/978-3-030-71522-9_300529,,2025,https://link.springer.com/rwe/10.1007/978-3-030-71522-9_300529,Reference work entry
Flow Policies,"Encyclopedia of Cryptography, Security and Privacy",,,,10.1007/978-3-030-71522-9_300389,,2025,https://link.springer.com/rwe/10.1007/978-3-030-71522-9_300389,Reference work entry
Flow Blocking,"Encyclopedia of Cryptography, Security and Privacy",,,,10.1007/978-3-030-71522-9_300388,,2025,https://link.springer.com/rwe/10.1007/978-3-030-71522-9_300388,Reference work entry
Intelligent Telemetry: P4-Driven Network Telemetry and&#xa0;Service Flow Intelligent Aviation Platform,Network and Parallel Computing,,,,10.1007/978-981-96-2830-8_27,Jing GaoFanqin ZhouMianxiong DongLei FengKaoru OtaZijian LiJiawei Fan,2025,https://link.springer.com/chapter/10.1007/978-981-96-2830-8_27,Conference paper
RuleAlchemy: Bidirectional Conflict-Aware Rule Aggregation for&#xa0;Crossed Probing Paths in&#xa0;SDN,Network and Parallel Computing,,,,10.1007/978-981-96-2864-3_37,Hongyun GaoLaiping ZhaoKeqiu Li,2025,https://link.springer.com/chapter/10.1007/978-981-96-2864-3_37,Conference paper
SPLR: A Selective Packet Loss Recovery for&#xa0;Improved RDMA Performance,Network and Parallel Computing,,,,10.1007/978-981-96-2830-8_21,Pingping DongLiying ChenXiaojuan LuXin ZhangLianming ZhangJiawei HuangGuo Chen,2025,https://link.springer.com/chapter/10.1007/978-981-96-2830-8_21,Conference paper
A DDoS Attack Detection and Mitigation System in SDN,Proceedings of the 14th International Conference on Computer Engineering and Networks,,,,10.1007/978-981-96-4245-8_9,Xinyue ZhangYun SongCunqiang Ge,2025,https://link.springer.com/chapter/10.1007/978-981-96-4245-8_9,Conference paper
Mitigation of Distributed Denial of Service Attack in a Software Defined Network Using Flow Entry Based Open Flow Methodology,Intelligent Computing Systems and Applications,,,,10.1007/978-981-96-3860-4_31,K. BavaniM. P. RamkumarG. S. R. Emil SelvanM. Mahalakshmi,2025,https://link.springer.com/chapter/10.1007/978-981-96-3860-4_31,Conference paper
Towards Saturation Attack Detection in SDN: A Device Hyperedge Graph and Flow-Device Hypergraph Neural Network-Based Method,Advanced Intelligent Computing Technology and Applications,,,,10.1007/978-981-96-9958-2_5,Longyan RanYunhe CuiGuowei ShenQing Qian,2025,https://link.springer.com/chapter/10.1007/978-981-96-9958-2_5,Conference paper
A Fair Rate Shaping-Based Congestion Control Strategy for&#xa0;Remote Sensing Satellite Networks,Wireless Artificial Intelligent Computing Systems and Applications,,,,10.1007/978-981-96-8731-2_7,Yuchen ZhuXiaoqiang DiPengfei HuZichu ZhangLei ChenKai Huang,2025,https://link.springer.com/chapter/10.1007/978-981-96-8731-2_7,Conference paper
Task Scheduling in&#xa0;Multi-layer CLOS Topology Networks Based on&#xa0;Shortest Path,Computing and Combinatorics,,,,10.1007/978-981-96-1195-9_9,Xuan DuJianan ChenWei Xie,2025,https://link.springer.com/chapter/10.1007/978-981-96-1195-9_9,Conference paper
Choreography-Defined Networks: A Case Study on&#xa0;DoS Mitigation,Service-Oriented Computing,,,,10.1007/978-981-96-0808-9_18,Saverio GiallorenzoJacopo MauroAndrea MelisFabrizio MontesiMarco PeressottiMarco Prandini,2025,https://link.springer.com/chapter/10.1007/978-981-96-0808-9_18,Conference paper
Optimal Path Identification to Resist Congestion Through Applying Intelligence to Software Defined Network,Soft Computing and Signal Processing,,,,10.1007/978-981-96-0924-6_4,Deepthi GotetiImran Rasheed,2025,https://link.springer.com/chapter/10.1007/978-981-96-0924-6_4,Conference paper
