original_title,original_doi,original_authors,original_year,original_url,original_publication,abstract,citation_count,reference_count,venue,publisher,issn,isbn,pages,language,source_file,fetch_timestamp,data_sources
Share and benefit: incentives for cyber threat intelligence sharing,10.1007/s10207-025-01165-2,Tobias ReittingerJohannes GrillGünther Pernul,2026,https://link.springer.com/article/10.1007/s10207-025-01165-2,International Journal of Information Security,"<jats:title>Abstract</jats:title>
                  <jats:p>Cyber threat intelligence (CTI) provides actionable insights into the threat landscape, helping organizations strengthen their defenses. Because commercial CTI is costly, inter-organizational sharing can reduce expenses, yet adoption remains limited. Still, the design of effective incentives for CTI sharing and their embedding in a sharing platform remains underexplored. We conducted 15 semi-structured interviews with security professionals to elicit incentive requirements and design options. We find that organizations prefer to share CTI with known recipients to build trust and support GDPR compliance. They also value mechanisms that lower coordination costs, such as a reputation system and price guidance to help prioritize scarce analyst time. Further, a major barrier is skepticism about the net benefits of sharing. To address this, we propose financial compensation for contributed CTI and a marketing label that signals proactive cybersecurity to partners and customers. We implemented these incentives in a platform prototype and assessed their effects in 14 hands-on sessions with security experts. Participants reported increased willingness to share, suggesting that well-designed incentives can catalyze CTI-sharing ecosystems. Put simply, organizations can share and benefit.</jats:p>",0,59,International Journal of Information Security,Springer Science and Business Media LLC,"1615-5262, 1615-5270",,,en,p4驱动的网络遥测.csv,2026-04-17 18:24:33,"Crossref, SemanticScholar, OpenAlex"
Continuous Distributed Monitoring of Data Streams with Faulty Nodes,10.1007/s10922-025-10028-z,Subhas Kumar GhoshVijay Monic Vittamsetti,2026,https://link.springer.com/article/10.1007/s10922-025-10028-z,Journal of Network and Systems Management,,0,50,Journal of Network and Systems Management,Springer Science and Business Media LLC,"1064-7570, 1573-7705",,,en,p4驱动的网络遥测.csv,2026-04-17 18:24:36,"Crossref, SemanticScholar, OpenAlex"
Optimizing feature selection and deep learning techniques for precise detection of low-rate distributed denial of service (LDDoS) attack,10.1007/s43926-025-00182-w,Naeem Ali Al-ShukailiMiss Laiha M. KiahIsmail Ahmedy,2025,https://link.springer.com/article/10.1007/s43926-025-00182-w,Discover Internet of Things,,2,52,Discover Internet of Things,Springer Science and Business Media LLC,2730-7239,,,en,p4驱动的网络遥测.csv,2026-04-17 18:24:39,"Crossref, SemanticScholar, OpenAlex"
Analysing Interoperability in&#xa0;Digital Twin Software Architectures for&#xa0;Manufacturing,10.1007/978-3-031-42592-9_12,Enxhi FerkoAlessio BucaioniPatrizio PelliccioneMoris Behnam,2023,https://link.springer.com/chapter/10.1007/978-3-031-42592-9_12,Software Architecture,,15,36,Lecture notes in computer science,Springer Nature Switzerland,"0302-9743, 1611-3349","9783031425912, 9783031425929",170-188,en,p4驱动的网络遥测.csv,2026-04-17 18:24:44,"Crossref, SemanticScholar, OpenAlex"
ControlPULP: A RISC-V Power Controller for&#xa0;HPC Processors with&#xa0;Parallel Control-Law Computation Acceleration,10.1007/978-3-031-15074-6_8,Alessandro OttavianoRobert BalasGiovanni BambiniCorrado BonfantiSimone BenattiDavide RossiLuca BeniniAndrea Bartolini,2022,https://link.springer.com/chapter/10.1007/978-3-031-15074-6_8,"Embedded Computer Systems: Architectures, Modeling, and Simulation",,0,22,Lecture notes in computer science,Springer International Publishing,"0302-9743, 1611-3349","9783031150739, 9783031150746",120-135,en,p4驱动的网络遥测.csv,2026-04-17 18:24:47,"Crossref, SemanticScholar, OpenAlex"
Experimentation Scenarios for Machine Learning-Based Resource Management,10.1007/978-3-031-08341-9_11,Alexandros KostopoulosIoannis P. ChochliourosJohn VardakasMiquel PayaróSergio BarrachinaMd Arifur RahmanEvgenii VinogradovPhilippe ChanclouRoberto GonzalezCharalambos KlitisSabrina De Capitani di VimercatiPolyzois SoumplisEmmanuel VarvarigosDimitrios KritharidisKostas Chartsias,2022,https://link.springer.com/chapter/10.1007/978-3-031-08341-9_11,Artificial Intelligence Applications and Innovations. AIAI 2022 IFIP WG 12.5 International Workshops,,6,20,IFIP advances in information and communication technology,Springer International Publishing,"1868-4238, 1868-422X","9783031083402, 9783031083419",120-133,en,p4驱动的网络遥测.csv,2026-04-17 18:24:51,"Crossref, SemanticScholar, OpenAlex"
Medical Diagnosis System Based on Explainable Artificial Intelligence and Blockchain,10.1007/978-3-031-97007-8_12,Cosmin-George NicolăescuFlorentina Magda EnescuNicu Bizon,2026,https://link.springer.com/chapter/10.1007/978-3-031-97007-8_12,Explainable Artificial Intelligence for Trustworthy Decisions in Smart Applications,,0,35,,Springer Nature Switzerland,,"9783031970061, 9783031970078",339-395,en,p4驱动的网络遥测.csv,2026-04-17 18:24:54,"Crossref, OpenAlex"
Network Management 2030: Operations and Control of Network 2030 Services,10.1007/s10922-020-09517-0,Alexander ClemmMohamed Faten ZhaniRaouf Boutaba,2020,https://link.springer.com/article/10.1007/s10922-020-09517-0,Journal of Network and Systems Management,,57,43,Journal of Network and Systems Management,Springer Science and Business Media LLC,"1064-7570, 1573-7705",,721-750,en,p4驱动的网络遥测.csv,2026-04-17 18:25:02,"Crossref, SemanticScholar, OpenAlex"
A Responsible Internet to Increase Trust in the Digital World,10.1007/s10922-020-09564-7,Cristian HesselmanPaola GrossoRalph HolzFernando KuipersJanet Hui XueMattijs JonkerJoeri de RuiterAnna SperottoRoland van Rijswijk-DeijGiovane C. M. MouraAiko PrasCees de Laat,2020,https://link.springer.com/article/10.1007/s10922-020-09564-7,Journal of Network and Systems Management,"<jats:title>Abstract</jats:title><jats:p>Policy makers in regions such as Europe are increasingly concerned about the trustworthiness and sovereignty of the foundations of their digital economy, because it often depends on systems operated or manufactured elsewhere. To help curb this problem, we propose the novel notion of a responsible Internet, which provides higher degrees of trust and sovereignty for critical service providers (e.g., power grids) and all kinds of other users by improving the transparency, accountability, and controllability of the Internet at the network-level. A responsible Internet accomplishes this through two new distributed and decentralized systems. The first is the Network Inspection Plane (NIP), which enables users to request measurement-based descriptions of the chains of network operators (e.g., ISPs and DNS and cloud providers) that handle their data flows or could potentially handle them, including the relationships between them and the properties of these operators. The second is the Network Control Plane (NCP), which allows users to specify how they expect the Internet infrastructure to handle their data (e.g., in terms of the security attributes that they expect chains of network operators to have) based on the insights they gained from the NIP. We discuss research directions and starting points to realize a responsible Internet by combining three currently largely disjoint research areas: large-scale measurements (for the NIP), open source-based programmable networks (for the NCP), and policy making (POL) based on the NIP and driving the NCP. We believe that a responsible Internet is the next stage in the evolution of the Internet and that the concept is useful for clean slate Internet systems as well.</jats:p>",35,79,Journal of Network and Systems Management,Springer Science and Business Media LLC,"1064-7570, 1573-7705",,882-922,en,p4驱动的网络遥测.csv,2026-04-17 18:25:05,"Crossref, OpenAlex"
LoomoRescue: An Affordable Rescue Robot for&#xa0;Evacuation Situations,10.1007/978-3-031-35921-7_5,Denys J. C. MatthiesSven Ole SchmidtYuqi HeZhouyao YuHorst Hellbrück,2023,https://link.springer.com/chapter/10.1007/978-3-031-35921-7_5,"Design, Operation and Evaluation of Mobile Communications",,2,52,Lecture notes in computer science,Springer Nature Switzerland,"0302-9743, 1611-3349","9783031359200, 9783031359217",53-73,en,p4驱动的网络遥测.csv,2026-04-17 18:25:13,"Crossref, SemanticScholar, OpenAlex"
Future Research Directions,10.1007/978-3-031-02382-8_4,Konstantinos PoularakisLeandros TassiulasT.V. Lakshman,2021,https://link.springer.com/chapter/10.1007/978-3-031-02382-8_4,Modeling and Optimization in Software-Defined Networks,,0,0,"Synthesis lectures on learning, networks, and algorithms",Springer International Publishing,"2690-4306, 2690-4314","9783031012549, 9783031023828",129-137,en,p4驱动的网络遥测.csv,2026-04-17 18:25:18,"Crossref, OpenAlex"
SDN Data Plane Optimization,10.1007/978-3-031-02382-8_3,Konstantinos PoularakisLeandros TassiulasT.V. Lakshman,2021,https://link.springer.com/chapter/10.1007/978-3-031-02382-8_3,Modeling and Optimization in Software-Defined Networks,,0,0,"Synthesis lectures on learning, networks, and algorithms",Springer International Publishing,"2690-4306, 2690-4314","9783031012549, 9783031023828",73-127,en,p4驱动的网络遥测.csv,2026-04-17 18:25:26,"Crossref, OpenAlex"
Securing Your Fleet,10.1007/978-1-4842-9156-6_8,Charles EdgeRich Trouton,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9156-6_8,Apple Device Management,,0,0,Apress eBooks,Apress,,"9781484291559, 9781484291566",435-511,en,p4驱动的网络遥测.csv,2026-04-17 18:25:35,"Crossref, OpenAlex"
"A survey on data analysis on large-Scale wireless networks: online stream processing, trends, and challenges",10.1186/s13174-020-00127-2,Dianne S. V. MedeirosHelio N. Cunha NetoMartin Andreoni LopezLuiz Claudio S. MagalhãesNatalia C. FernandesAlex B. VieiraEdelberto F. SilvaDiogo M. F. Mattos,2020,https://link.springer.com/article/10.1186/s13174-020-00127-2,Journal of Internet Services and Applications,"In this paper we focus on knowledge extraction from large-scale wireless networks through stream processing. We present the primary methods for sampling, data collection, and monitoring of wireless networks and we characterize knowledge extraction as a machine learning problem on big data stream processing. We show the main trends in big data stream processing frameworks. Additionally, we explore the data preprocessing, feature engineering, and the machine learning algorithms applied to the scenario of wireless network analytics. We address challenges and present research projects in wireless network monitoring and stream processing. Finally, future perspectives, such as deep learning and reinforcement learning in stream processing, are anticipated.",25,129,Journal of Internet Services and Applications,Sociedade Brasileira de Computacao - SB,"1867-4828, 1869-0238",,,en,p4驱动的网络遥测.csv,2026-04-17 18:25:43,"Crossref, SemanticScholar, OpenAlex"
Analysis of factors affecting IoT-based smart hospital design,10.1186/s13677-020-00215-5,Banu Çalış UsluErtuğ OkayErkan Dursun,2020,https://link.springer.com/article/10.1186/s13677-020-00215-5,Journal of Cloud Computing,"Currently, rapidly developing digital technological innovations affect and change the integrated information management processes of all sectors. The high efficiency of these innovations has inevitably pushed the health sector into a digital transformation process to optimize the technologies and methodologies used to optimize healthcare management systems. In this transformation, the Internet of Things (IoT) technology plays an important role, which enables many devices to connect and work together. IoT allows systems to work together using sensors, connection methods, internet protocols, databases, cloud computing, and analytic as infrastructure. In this respect, it is necessary to establish the necessary technical infrastructure and a suitable environment for the development of smart hospitals. This study points out the optimization factors, challenges, available technologies, and opportunities, as well as the system architecture that come about by employing IoT technology in smart hospital environments. In order to do that, the required technical infrastructure is divided into five layers and the system infrastructure, constraints, and methods needed in each layer are specified, which also includes the smart hospital’s dimensions and extent of intelligent computing and real-time big data analytic. As a result of the study, the deficiencies that may arise in each layer for the smart hospital design model and the factors that should be taken into account to eliminate them are explained. It is expected to provide a road map to managers, system developers, and researchers interested in optimization of the design of the smart hospital system.",125,205,Journal of Cloud Computing Advances Systems and Applications,Springer Science and Business Media LLC,2192-113X,,,en,p4驱动的网络遥测.csv,2026-04-17 18:25:47,"Crossref, SemanticScholar, OpenAlex"
Silent Consensus: Probabilistic Packet Sampling for Lightweight Network Monitoring,10.1007/978-3-030-24289-3_19,Marcel WallschlägerAlexander AckerOdej Kao,2019,https://link.springer.com/chapter/10.1007/978-3-030-24289-3_19,Computational Science and Its Applications – ICCSA 2019,,0,29,Lecture notes in computer science,Springer International Publishing,"0302-9743, 1611-3349","9783030242886, 9783030242893",241-256,en,p4驱动的网络遥测.csv,2026-04-17 18:25:51,"Crossref, SemanticScholar, OpenAlex"
FlexNGIA: A Flexible Internet Architecture for the Next-Generation Tactile Internet,10.1007/s10922-020-09525-0,Mohamed Faten ZhaniHesham ElBakoury,2020,https://link.springer.com/article/10.1007/s10922-020-09525-0,Journal of Network and Systems Management,"From virtual reality and telepresence, to augmented reality, holoportation, and remotely controlled robotics, these future network applications promise an unprecedented development for society, economics and culture by revolutionizing the way we live, learn, work and play. In order to deploy such futuristic applications and to cater to their performance requirements, recent trends stressed the need for the “Tactile Internet”, an Internet that, according to the International Telecommunication Union (ITU), combines ultra low latency with extremely high availability, reliability and security (ITU-T Technology Watch Report. The Tactile Internet, 2014). Unfortunately, today’s Internet falls short when it comes to providing such stringent requirements due to several fundamental limitations in the design of the current network architecture and communication protocols. This brings the need to rethink the network architecture and protocols, and efficiently harness recent technological advances in terms of virtualization and network softwarization to design the Tactile Internet of the future. In this paper, we start by analyzing the characteristics and requirements of future networking applications. We then highlight the limitations of the traditional network architecture and protocols and their inability to cater to these requirements. Afterward, we put forward a novel network architecture adapted to the Tactile Internet called FlexNGIA, a Flexible Next-Generation Internet Architecture. We then describe some use-cases where we discuss the potential mechanisms and control loops that could be offered by FlexNGIA in order to ensure the required performance and reliability guarantees for future applications. Finally, we identify the key research challenges to further develop FlexNGIA towards a full-fledged architecture for the future Tactile Internet.",35,64,Journal of Network and Systems Management,Springer Science and Business Media LLC,"1064-7570, 1573-7705",,751-795,en,p4驱动的网络遥测.csv,2026-04-17 18:25:55,"Crossref, SemanticScholar, OpenAlex"
